Episode,Cumulative
1,-1.0002266666666666
2,-2.0021533333333332
3,-3.003706666666669
4,-4.006240000000007
5,-5.006240000000007
6,-6.006340000000007
7,-7.0069400000000055
8,-8.008366666666669
9,-9.009766666666666
10,-10.010719999999997
11,-11.011119999999996
12,-12.011546666666662
13,-13.01224666666666
14,-14.01254666666666
15,-15.01264666666666
16,-16.014926666666653
17,-17.016579999999983
18,-18.016679999999983
19,-19.017079999999982
20,-20.019406666666644
21,-21.021659999999972
22,-22.022486666666637
23,-23.023113333333303
24,-24.02556666666663
25,-25.02556666666663
26,-26.02654666666663
27,-27.02729999999996
28,-28.02749999999996
29,-29.02887999999996
30,-30.03068666666662
31,-31.032566666666618
32,-32.03256666666662
33,-33.03455333333332
34,-34.03528000000001
35,-35.03731333333339
36,-36.03774000000006
37,-37.03816666666674
38,-38.04394666666692
39,-39.04487333333361
40,-40.05056000000044
41,-41.051586666667134
42,-42.053693333333854
43,-43.054220000000534
44,-44.05770000000064
45,-45.05888000000066
46,-46.063873333334115
47,-47.06585333333417
48,-48.07084666666762
49,-49.07300000000102
50,-50.07392666666771
51,-51.07613333333443
52,-52.07724000000112
53,-53.081053333334545
54,-54.08118000000121
55,-55.08230666666791
56,-56.08366666666793
57,-57.0849200000013
58,-58.086906666668
59,-59.088160000001366
60,-60.08826000000137
61,-61.08934000000139
62,-62.09036666666809
63,-63.09137333333477
64,-64.09708000000154
65,-65.09760666666823
66,-66.09830666666825
67,-67.10189333333504
68,-68.10270000000175
69,-69.10372666666845
70,-70.10468000000182
71,-71.10488000000183
72,-72.10530666666851
73,-73.10718666666858
74,-74.10824000000196
75,-75.10834000000196
76,-76.11152000000207
77,-77.11390000000216
78,-78.11390000000216
79,-79.11452666666885
80,-80.1165133333356
81,-81.12109333333576
82,-82.12179333333579
83,-83.12239333333581
84,-84.12399333333586
85,-85.12702000000263
86,-86.12702000000263
87,-87.12937333333605
88,-88.12998000000275
89,-89.1314600000028
90,-90.13266000000284
91,-91.13296000000285
92,-92.13296000000285
93,-93.13336000000287
94,-94.13481333333625
95,-95.13534000000294
96,-96.13636666666964
97,-97.13742000000302
98,-98.1388733333364
99,-99.14098000000314
100,-100.14193333333651
101,-101.14203333333651
102,-102.14276000000321
103,-103.14296000000321
104,-104.14401333333659
105,-105.14584000000332
106,-106.14606666667
107,-107.14837333333675
108,-108.15040000000349
109,-109.15040000000349
110,-110.15142666667019
111,-111.15195333333688
112,-112.15258000000357
113,-113.15288000000358
114,-114.15438666667029
115,-115.15531333333699
116,-116.15691333333704
117,-117.15691333333704
118,-118.15764000000374
119,-119.15784000000374
120,-120.15896666667045
121,-121.15969333333715
122,-122.16019333333716
123,-123.16152000000388
124,-124.1641733333373
125,-125.16470000000399
